FIPStxt,States,Area_name,POVALL_2019
01001,AL,Autauga County,"6,723"
01003,AL,Baldwin County,"22,360"
01005,AL,Barbour County,"5,909"
01007,AL,Bibb County,"4,101"
01009,AL,Blount County,"9,324"
01011,AL,Bullock County,"2,537"
01013,AL,Butler County,"4,124"
01015,AL,Calhoun County,"18,988"
01017,AL,Chambers County,"6,415"
01019,AL,Cherokee County,"4,121"
01021,AL,Chilton County,"7,044"
01023,AL,Choctaw County,"2,811"
01025,AL,Clarke County,"4,281"
01027,AL,Clay County,"2,156"
01029,AL,Cleburne County,"1,945"
01031,AL,Coffee County,"7,734"
01033,AL,Colbert County,"7,998"
01035,AL,Conecuh County,"2,662"
01037,AL,Coosa County,"1,789"
01039,AL,Covington County,"6,269"
01041,AL,Crenshaw County,"2,289"
01043,AL,Cullman County,"10,088"
01045,AL,Dale County,"8,727"
01047,AL,Dallas County,"9,533"
01049,AL,DeKalb County,"12,848"
01051,AL,Elmore County,"8,753"
01053,AL,Escambia County,"6,980"
01055,AL,Etowah County,"18,801"
01057,AL,Fayette County,"2,721"
01059,AL,Franklin County,"4,989"
01061,AL,Geneva County,"4,180"
01063,AL,Greene County,"2,553"
01065,AL,Hale County,"2,956"
01067,AL,Henry County,"2,919"
01069,AL,Houston County,"20,207"
01071,AL,Jackson County,"7,481"
01073,AL,Jefferson County,"104,288"
01075,AL,Lamar County,"2,070"
01077,AL,Lauderdale County,"14,193"
01079,AL,Lawrence County,"5,773"
01081,AL,Lee County,"24,731"
01083,AL,Limestone County,"11,535"
01085,AL,Lowndes County,"2,555"
01087,AL,Macon County,"4,817"
01089,AL,Madison County,"41,789"
01091,AL,Marengo County,"4,601"
01093,AL,Marion County,"4,883"
01095,AL,Marshall County,"14,989"
01097,AL,Mobile County,"71,784"
01099,AL,Monroe County,"4,770"
01101,AL,Montgomery County,"34,268"
01103,AL,Morgan County,"16,146"
01105,AL,Perry County,"2,778"
01107,AL,Pickens County,"4,380"
01109,AL,Pike County,"6,742"
01111,AL,Randolph County,"3,906"
01113,AL,Russell County,"10,823"
01115,AL,St. Clair County,"9,780"
01117,AL,Shelby County,"13,428"
01119,AL,Sumter County,"4,195"
01121,AL,Talladega County,"13,326"
01123,AL,Tallapoosa County,"6,341"
01125,AL,Tuscaloosa County,"32,226"
01127,AL,Walker County,"10,837"
01129,AL,Washington County,"2,998"
01131,AL,Wilcox County,"3,329"
01133,AL,Winston County,"3,882"
02013,AK,Aleutians East Borough,492
02016,AK,Aleutians West Census Area,414
02020,AK,Anchorage Borough,"26,636"
02050,AK,Bethel Census Area,"4,249"
02060,AK,Bristol Bay Borough,80
02068,AK,Denali Borough,132
02070,AK,Dillingham Census Area,883
02090,AK,Fairbanks North Star Borough,"6,656"
02100,AK,Haines Borough,247
02105,AK,Hoonah-Angoon Census Area,336
02110,AK,Juneau Borough,"1,951"
02122,AK,Kenai Peninsula Borough,"5,966"
02130,AK,Ketchikan Gateway Borough,"1,283"
02150,AK,Kodiak Island Borough,909
02158,AK,Kusilvak Census Area,"2,217"
02164,AK,Lake and Peninsula Borough,275
02170,AK,Matanuska-Susitna Borough,"10,142"
02180,AK,Nome Census Area,"2,033"
02185,AK,North Slope Borough,"1,109"
02188,AK,Northwest Arctic Borough,"1,805"
02195,AK,Petersburg Borough,219
02198,AK,Prince of Wales-Hyder Census Area,"1,085"
02220,AK,Sitka Borough,672
02230,AK,Skagway Municipality,47
02240,AK,Southeast Fairbanks Census Area,823
02261,AK,Valdez-Cordova Census Area,781
02275,AK,Wrangell City and Borough,240
02282,AK,Yakutat Borough,85
02290,AK,Yukon-Koyukuk Census Area,"1,266"
04001,AZ,Apache County,"23,680"
04003,AZ,Cochise County,"20,172"
04005,AZ,Coconino County,"20,817"
04007,AZ,Gila County,"11,219"
04009,AZ,Graham County,"7,207"
04011,AZ,Greenlee County,876
04012,AZ,La Paz County,"4,593"
04013,AZ,Maricopa County,"539,670"
04015,AZ,Mohave County,"33,183"
04017,AZ,Navajo County,"27,440"
04019,AZ,Pima County,"142,859"
04021,AZ,Pinal County,"52,975"
04023,AZ,Santa Cruz County,"8,688"
04025,AZ,Yavapai County,"27,845"
04027,AZ,Yuma County,"41,782"
05001,AR,Arkansas County,"2,714"
05003,AR,Ashley County,"3,603"
05005,AR,Baxter County,"5,248"
05007,AR,Benton County,"24,525"
05009,AR,Boone County,"5,572"
05011,AR,Bradley County,"2,426"
05013,AR,Calhoun County,771
05015,AR,Carroll County,"4,118"
05017,AR,Chicot County,"2,900"
05019,AR,Clark County,"3,971"
05021,AR,Clay County,"2,691"
05023,AR,Cleburne County,"3,452"
05025,AR,Cleveland County,"1,080"
05027,AR,Columbia County,"4,509"
05029,AR,Conway County,"3,215"
05031,AR,Craighead County,"17,960"
05033,AR,Crawford County,"11,436"
05035,AR,Crittenden County,"10,520"
05037,AR,Cross County,"2,874"
05039,AR,Dallas County,"1,241"
05041,AR,Desha County,"2,859"
05043,AR,Drew County,"3,191"
05045,AR,Faulkner County,"17,459"
05047,AR,Franklin County,"2,830"
05049,AR,Fulton County,"2,169"
05051,AR,Garland County,"16,532"
05053,AR,Grant County,"2,189"
05055,AR,Greene County,"6,925"
05057,AR,Hempstead County,"3,930"
05059,AR,Hot Spring County,"6,322"
05061,AR,Howard County,"2,176"
05063,AR,Independence County,"5,852"
05065,AR,Izard County,"2,003"
05067,AR,Jackson County,"3,313"
05069,AR,Jefferson County,"14,942"
05071,AR,Johnson County,"4,521"
05073,AR,Lafayette County,"1,655"
05075,AR,Lawrence County,"2,887"
05077,AR,Lee County,"2,515"
05079,AR,Lincoln County,"2,567"
05081,AR,Little River County,"2,157"
05083,AR,Logan County,"3,640"
05085,AR,Lonoke County,"7,760"
05087,AR,Madison County,"2,699"
05089,AR,Marion County,"2,687"
05091,AR,Miller County,"5,909"
05093,AR,Mississippi County,"9,128"
05095,AR,Monroe County,"1,681"
05097,AR,Montgomery County,"1,756"
