costRank,State,costIndex,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost,Latitude,Longitude
1,Hawaii,192.9,169.3,318.6,172.7,148.6,116.8,21.094318,-157.498337
3,California,151.7,121.4,227.3,117.7,138.9,114.5,36.116203,-119.681564
4,New York,139.1,114.8,204.4,108.7,116.6,104.8,42.165726,-74.948051
5,Oregon,134.2,110.3,181.8,88,136.7,113.2,44.572021,-122.070938
6,Massachusetts,131.6,113.9,170.3,109.7,116,117.6,42.230171,-71.530106
7,Alaska,129.9,134.2,133.9,154.2,130.8,150.9,61.370716,-152.404419
8,Maryland,129.7,108.5,184.5,107.3,116.7,89.2,39.063946,-76.802101
9,Connecticut,127.7,114.2,144.7,128.1,111.8,113.7,41.597782,-72.755371
10,New Jersey,125.1,109.5,163.1,101.6,111.1,101.7,40.298904,-74.521011
11,Rhode Island,119.4,106.2,129.4,123.5,124,109.3,41.680893,-71.51178
12,Maine,117.5,107,123.1,116.1,121.4,121.8,44.693947,-69.381927
13,Vermont,114.5,111.3,126.7,120.2,119.9,101.2,44.045876,-72.710686
14,Washington,110.7,107.8,117.8,88.7,121.7,118.9,47.400902,-121.490494
15,New Hampshire,109.7,100.4,110.3,119.5,111.4,116.1,43.452492,-71.563896
16,Nevada,108.5,108.3,121.8,89,123.5,105.7,38.313515,-117.055374
17,Delaware,108.1,113.4,98.2,96.5,107,101.6,39.318523,-75.507141
18,Montana,106.9,105.1,111.6,83.9,125,98.4,46.921925,-110.454353
19,Colorado,105.6,102.5,119,88.4,101.2,102.9,39.059811,-105.311104
20,Pennsylvania,101.7,106.9,100.8,106,109.5,91.9,40.590752,-77.209755
21,Minnesota,101.6,106.7,88.3,96.8,103.7,108.6,45.694454,-93.900192
22,Virginia,100.7,96.1,108,99.2,88.1,97.2,37.769337,-78.169968
23,South Dakota,99.8,107,109.8,91.8,89.8,103,44.299782,-99.438828
24,North Dakota,98.8,108.1,90.3,93.6,104.3,111.7,47.528912,-99.784012
25,Utah,98.4,98.5,93.6,89.4,108.6,96,40.150032,-111.862434
26,Florida,97.9,104,95.4,102.2,96.7,96.9,27.766279,-81.686783
27,Wisconsin,97.3,100.7,91.4,98.9,98.1,115.2,44.268543,-89.616508
28,Arizona,97,96.9,91.7,107.4,109.6,94.7,33.729759,-111.431221
29,South Carolina,95.9,101.9,85.1,107.6,88,94.2,33.856892,-80.945007
30,North Carolina,94.9,96.6,83.1,97.9,93.4,110.6,35.630066,-79.806419
31,Illinois,94.5,94.2,87.2,100.9,100.9,99,40.349457,-88.986137
32,Louisiana,93.9,99.9,86.6,89.3,98.5,98.8,31.169546,-91.867805
33,Idaho,92.3,92.2,87.1,82.9,106.7,97.3,44.242605,-115.133222
34,Texas,91.5,88.9,85.3,102.3,91.4,96.2,31.054487,-97.563461
35,West Virginia,91.1,92.9,79.6,89,93.5,89.1,38.491226,-80.954453
36,Kentucky,90.9,89.9,77.4,97.6,92.8,89.2,37.66814,-84.670067
38,Nebraska,90.8,95.5,80.9,90.8,94.3,99.9,41.12537,-98.268082
37,Ohio,90.8,98.7,73.6,91.8,96.7,97.6,40.388783,-82.764915
39,Iowa,90.1,95.9,79.6,95.3,95.5,97.8,42.011539,-93.210526
40,Indiana,90,93.3,77.3,97,93.1,94.3,39.849426,-86.258278
41,Alabama,89.3,97.4,71.5,103.3,88.6,90.8,32.806671,-86.79113
42,Wyoming,89.3,98.7,72.3,87.3,99.3,94.9,42.755966,-107.30249
43,Georgia,89.2,96.9,73.8,92.4,97.6,98.5,33.040619,-83.643074
44,Kansas,89,91.9,73.8,103,92.3,98.9,38.5266,-96.726486
45,Michigan,88.9,89.3,75.2,97.3,97.4,93,43.326618,-84.536095
46,Tennessee,88.7,93.3,80.2,93.4,89.7,88.5,35.747845,-86.692345
47,New Mexico,87.5,100.9,77.7,87.9,91.6,100.1,34.840515,-106.248482
48,Missouri,87.1,96.6,70.6,99.6,87.3,95.7,38.456085,-92.288368
49,Oklahoma,87,95.4,71.9,94.1,89.5,93.2,35.565342,-96.928917
50,Arkansas,86.9,92,73.9,91.8,83.6,85.6,34.969704,-92.373123
51,Mississippi,86.1,91.6,70.1,89.1,89.2,91.4,32.741646,-89.678696
